|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[3]  |
|       0  |       0  |       0  |      -2  |
|       1  |       0  |       0  |      -1  |
|      -1  |       0  |       0  |      -1  |
|       0  |       2  |       0  |       0  |
|       0  |      -2  |       0  |       0  |
|       3  |       1  |       3  |       0  |
|       1  |       3  |       0  |       1  |
|       6  |      14  |       0  |       6  |
|      16  |       1  |      16  |       0  |
|       1  |       1  |       1  |       0  |
|      35  |      55  |       0  |      35  |
|      51  |       5  |      10  |       1  |
|      -6  |       7  |      -1  |       1  |
|      -6  |      -7  |       1  |       1  |
|      66  |     -27  |      -2  |      12  |
|       1  |      -1  |      -1  |       0  |
|      -1  |       1  |      -1  |       0  |
|      -1  |      -1  |       1  |       0  |
|      -1  |     -10  |       1  |       9  |
